bed_base,outcome,model,threshold,occ_col,cap_col,y_col,nobs,dropped_regressors,coef_above_thr,se_above_thr,p_above_thr,coef_above_x_cap_z,se_above_x_cap_z,p_above_x_cap_z,coef_above_x_nearest_trust_km_z,se_above_x_nearest_trust_km_z,p_above_x_nearest_trust_km_z,coef_above_x_trusts_within_10km_z,se_above_x_trusts_within_10km_z,p_above_x_trusts_within_10km_z,coef_above_x_trusts_within_25km_z,se_above_x_trusts_within_25km_z,p_above_x_trusts_within_25km_z
adult_ga_proxy,ae_12h_per_1k_att,threshold_interactions,0.82,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-2.792252635875461,1.0540075020723119,0.008106362952443602,4.742985168213363,10.156430563077247,0.6405347710618741,1.4323325336321828,0.7928723474115237,0.07092750508461765,-3.945309217672354,1.0696104812261662,0.00022908883723604667,4.130982769195448,1.1417061046343573,0.0003009401480296159
adult_ga_proxy,ae_12h_per_1k_att,threshold_interactions,0.85,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-2.8867006439059986,0.8958530453274506,0.0012837712083617614,8.640165659427215,9.660742108075196,0.3711938714749583,2.618354024094351,0.6508664659330766,5.875079079187273e-05,-3.8258358459464126,1.1453243429598192,0.0008456751944840857,4.048627899094385,1.231220962129291,0.0010182535560476769
adult_ga_proxy,ae_12h_per_1k_att,threshold_interactions,0.88,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,-0.990163723548299,0.8011289173579883,0.21655914688640188,21.948084956838937,9.289801114822508,0.01820359941428995,2.267120219183251,0.6580115895073575,0.000577140287969069,-4.322979479751805,1.1240416666014734,0.00012231381208427372,5.417350797792241,1.145366856313773,2.3394405812560137e-06
adult_ga_proxy,ae_12h_per_1k_att,threshold_interactions,0.9,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,1.2307756857020082,0.79167041548244,0.12012151145139738,22.986582532487944,9.741503888159446,0.018348528706328082,2.2295379535935695,0.7252015434170439,0.0021263242022762086,-3.6469871972822325,1.1349491174184447,0.001324303628549961,4.7526997725463325,1.1654086233549457,4.644447991797307e-05
adult_ga_proxy,ae_12h_per_1k_att,threshold_interactions,0.92,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_12h_per_1k_att,3551,,2.24351258995529,0.8375396156634305,0.007426782693402911,21.59322699846178,11.206075807551791,0.05407318657243798,1.829349926094982,0.9281696187826828,0.04881429084814615,-4.030777410378739,1.1799115530777382,0.0006425841957078404,5.35720430306662,1.1867595617668383,6.57420591232416e-06
adult_ga_proxy,ae_4hr_pct,threshold_interactions,0.8,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,-0.02015501171803543,0.010292777162735373,0.05029218706726524,-0.08946571954763524,0.10645714459206314,0.40074816265588975,0.008129586432161068,0.007819544457312748,0.29857709884811445,0.053476444094986475,0.010855569939871138,8.787982583857712e-07,-0.023671389410943277,0.008946483555981505,0.008185450341186229
adult_ga_proxy,ae_4hr_pct,threshold_interactions,0.82,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,-0.010320531616796212,0.008982916668230659,0.2506758446025139,0.0018934208660939971,0.10204710855353037,0.9851976912289906,0.003881852453424582,0.00808409074151067,0.6311275203036399,0.06179445212115634,0.010438922279852556,3.54960638659918e-09,-0.030796867121475512,0.008504870906221035,0.0002976776260021907
adult_ga_proxy,ae_4hr_pct,threshold_interactions,0.85,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,0.0029820974967677597,0.007810278618012894,0.7026210844628964,0.07585923788914026,0.10057410043293435,0.4507443804658424,0.003847540225554065,0.006516118986323677,0.5549184281784663,0.0781704395920406,0.011631413730019814,2.1152413154368332e-11,-0.04321162577267589,0.008991287414977423,1.607327995367669e-06
adult_ga_proxy,ae_4hr_pct,threshold_interactions,0.88,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,0.00935071874820828,0.0071142655302335964,0.18881369392332004,0.01619282754186101,0.09474593522875695,0.8643064282927897,0.0036155862646135677,0.005596471258549706,0.5182924658717158,0.07268362810745585,0.011808520621125803,8.378706617406806e-10,-0.03979911119507917,0.007956633837273736,5.962988876007103e-07
adult_ga_proxy,ae_4hr_pct,threshold_interactions,0.9,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,0.002528847507560131,0.006926980426690586,0.7150804113462446,0.03440358631395316,0.09317077044113713,0.7119622926457692,0.00391505248459037,0.005624534337917101,0.4864347735982397,0.06654478648231318,0.012657878853142707,1.553589341618533e-07,-0.032515264525301985,0.0081238560429409,6.403799602394677e-05
adult_ga_proxy,ae_4hr_pct,threshold_interactions,0.92,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,ae_type1_pct_4hr,3551,,-0.008008086590884757,0.006718017450188218,0.23333271052011484,-0.0011733275983422107,0.09241362588495206,0.9898706976659499,-0.00021575703808308976,0.005498831590496493,0.9687038420174299,0.032195025634137966,0.01363624922334356,0.01828277281853241,-0.015742355223693195,0.007818862544787452,0.0441536314708777
adult_ga_proxy,canc_pct28,threshold_interactions,0.8,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,0.03621518311359602,0.029192757443408296,0.21487946017499393,0.2006719987908783,0.18799382035852902,0.28586981691680835,-0.009798321489279456,0.019372032974500367,0.6130406476807142,0.06656524390777466,0.0486091655059034,0.1709901729468708,-0.0953762263677997,0.055167388972431265,0.08395104625950545
adult_ga_proxy,canc_pct28,threshold_interactions,0.82,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.013951500173151726,0.024041379435297553,0.5617531377530298,0.15743053034722518,0.1889668997728369,0.40485612712057684,0.002533600945078161,0.02261913334563515,0.9108227662768107,0.07753051274117868,0.04041793327903673,0.055189384515713424,-0.08508232915534159,0.04595311489015586,0.0642073621517314
adult_ga_proxy,canc_pct28,threshold_interactions,0.85,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.02776904772574183,0.022713120487929474,0.22158874256367644,-0.05161178880409072,0.2826111871783825,0.8551063259997442,0.004444019871562264,0.011805383817545588,0.7066195934074067,0.06604090681543068,0.0514561944232311,0.1994493514971878,-0.08353688906224058,0.057476739655727666,0.146229082896985
adult_ga_proxy,canc_pct28,threshold_interactions,0.88,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.004529620082546818,0.01601729941696151,0.7773554899086581,0.030635248974736067,0.21888347436104005,0.8887009840421101,0.025869957909853296,0.011014651566302588,0.018912197065274805,-0.0007017262565457472,0.028293776418449795,0.980215196344381,-0.0029789148809000413,0.02862878747716518,0.9171349878937711
adult_ga_proxy,canc_pct28,threshold_interactions,0.9,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.003631806120932989,0.015402080969668497,0.8136061496367164,0.06479085309637558,0.19593137466046034,0.7409110828912211,0.02536804399368582,0.009986210055095736,0.01113160133530644,0.008666169548168977,0.027588590085302785,0.7534532487346146,-0.005784762463740157,0.023792615654988847,0.807921255515669
adult_ga_proxy,canc_pct28,threshold_interactions,0.92,kh03_occ_adult_ga_rate,kh03_avail_ga_avg_beds,canc_pct_not_treated_28_days,2857,,-0.010704921723916024,0.01546720617850849,0.48893182696889137,-0.09538682026252934,0.20023355569548865,0.6338441562207411,0.028395718780703065,0.010508472234834535,0.006932274509499736,0.002609034788399732,0.028235770666916193,0.9263857635796744,0.017632524656498467,0.019162585654144984,0.3575753991001145
